Team,Gameweek,Points,Total Points
4 better or 4 Wirtz,1,29,29
All the way to May,1,46,46
Clearlake Rimet,1,39,39
Cooroibah Stars,1,49,49
Give it teh giggsehh,1,39,39
Morton,1,35,35
Muzzadona's Mincers,1,34,34
Nantes FC,1,47,47
PeerPressuredFC,1,49,49
Tommy D FC,1,48,48
Tosin Salad,1,45,45
4 better or 4 Wirtz,2,24,53
All the way to May,2,56,102
Clearlake Rimet,2,37,76
Cooroibah Stars,2,51,100
Give it teh giggsehh,2,56,95
Morton,2,49,84
Muzzadona's Mincers,2,39,73
Nantes FC,2,14,61
PeerPressuredFC,2,18,67
Tommy D FC,2,50,98
Tosin Salad,2,42,87
4 better or 4 Wirtz,3,41,94
All the way to May,3,28,130
Clearlake Rimet,3,36,112
Cooroibah Stars,3,24,124
Give it teh giggsehh,3,20,115
Morton,3,36,120
Muzzadona's Mincers,3,30,103
Nantes FC,3,37,98
PeerPressuredFC,3,41,108
Tommy D FC,3,64,162
Tosin Salad,3,38,125
4 better or 4 Wirtz,4,50,144
All the way to May,4,60,190
Clearlake Rimet,4,45,157
Cooroibah Stars,4,53,177
Give it teh giggsehh,4,40,155
Morton,4,43,163
Muzzadona's Mincers,4,34,137
Nantes FC,4,33,131
PeerPressuredFC,4,50,158
Tommy D FC,4,47,209
Tosin Salad,4,32,157
4 better or 4 Wirtz,5,34,178
All the way to May,5,31,221
Clearlake Rimet,5,24,181
Cooroibah Stars,5,34,211
Give it teh giggsehh,5,33,188
Morton,5,33,196
Muzzadona's Mincers,5,23,160
Nantes FC,5,50,181
PeerPressuredFC,5,43,201
Tommy D FC,5,41,250
Tosin Salad,5,47,204
4 better or 4 Wirtz,6,46,224
All the way to May,6,25,246
Clearlake Rimet,6,32,213
Cooroibah Stars,6,35,246
Give it teh giggsehh,6,19,207
Morton,6,35,231
Muzzadona's Mincers,6,21,181
Nantes FC,6,24,205
PeerPressuredFC,6,38,239
Tommy D FC,6,68,318
Tosin Salad,6,26,230
4 better or 4 Wirtz,7,45,269
All the way to May,7,61,307
Clearlake Rimet,7,31,244
Cooroibah Stars,7,54,300
Give it teh giggsehh,7,37,244
Morton,7,39,270
Muzzadona's Mincers,7,33,214
Nantes FC,7,30,235
PeerPressuredFC,7,43,282
Tommy D FC,7,48,366
Tosin Salad,7,26,256
4 better or 4 Wirtz,8,45,314
All the way to May,8,29,336
Clearlake Rimet,8,51,295
Cooroibah Stars,8,39,339
Give it teh giggsehh,8,43,287
Morton,8,31,301
Muzzadona's Mincers,8,68,282
Nantes FC,8,31,266
PeerPressuredFC,8,53,335
Tommy D FC,8,39,405
Tosin Salad,8,55,311
4 better or 4 Wirtz,9,37,351
All the way to May,9,38,374
Clearlake Rimet,9,38,333
Cooroibah Stars,9,54,393
Give it teh giggsehh,9,75,362
Morton,9,28,329
Muzzadona's Mincers,9,51,333
Nantes FC,9,31,297
PeerPressuredFC,9,36,371
Tommy D FC,9,44,449
Tosin Salad,9,29,340
4 better or 4 Wirtz,10,49,400
All the way to May,10,24,398
Clearlake Rimet,10,55,388
Cooroibah Stars,10,37,430
Give it teh giggsehh,10,32,394
Morton,10,23,352
Muzzadona's Mincers,10,25,358
Nantes FC,10,48,345
PeerPressuredFC,10,46,417
Tommy D FC,10,50,499
Tosin Salad,10,50,390
4 better or 4 Wirtz,11,43,443
All the way to May,11,25,423
Clearlake Rimet,11,54,442
Cooroibah Stars,11,34,464
Give it teh giggsehh,11,47,441
Morton,11,59,411
Muzzadona's Mincers,11,35,393
Nantes FC,11,41,386
PeerPressuredFC,11,42,459
Tommy D FC,11,37,536
Tosin Salad,11,29,419
4 better or 4 Wirtz,12,33,476
All the way to May,12,26,449
Clearlake Rimet,12,42,484
Cooroibah Stars,12,37,501
Give it teh giggsehh,12,24,465
Morton,12,47,458
Muzzadona's Mincers,12,24,417
Nantes FC,12,61,447
PeerPressuredFC,12,57,516
Tommy D FC,12,51,587
Tosin Salad,12,40,459
4 better or 4 Wirtz,13,54,530
All the way to May,13,40,489
Clearlake Rimet,13,22,506
Cooroibah Stars,13,17,518
Give it teh giggsehh,13,49,514
Morton,13,27,485
Muzzadona's Mincers,13,33,450
Nantes FC,13,35,482
PeerPressuredFC,13,32,548
Tommy D FC,13,27,614
Tosin Salad,13,37,496
4 better or 4 Wirtz,14,40,570
All the way to May,14,44,533
Clearlake Rimet,14,58,564
Cooroibah Stars,14,32,550
Give it teh giggsehh,14,30,544
Morton,14,52,537
Muzzadona's Mincers,14,40,490
Nantes FC,14,39,521
PeerPressuredFC,14,48,596
Tommy D FC,14,36,650
Tosin Salad,14,26,522
4 better or 4 Wirtz,15,35,605
All the way to May,15,62,595
Clearlake Rimet,15,27,591
Cooroibah Stars,15,37,587
Give it teh giggsehh,15,38,582
Morton,15,63,600
Muzzadona's Mincers,15,30,520
Nantes FC,15,55,576
PeerPressuredFC,15,30,626
Tommy D FC,15,55,705
Tosin Salad,15,51,573
4 better or 4 Wirtz,16,41,646
All the way to May,16,61,656
Clearlake Rimet,16,26,617
Cooroibah Stars,16,33,620
Give it teh giggsehh,16,40,622
Morton,16,54,654
Muzzadona's Mincers,16,36,556
Nantes FC,16,47,623
PeerPressuredFC,16,26,652
Tommy D FC,16,40,745
Tosin Salad,16,51,624
4 better or 4 Wirtz,17,41,687
All the way to May,17,46,702
Clearlake Rimet,17,40,657
Cooroibah Stars,17,45,665
Give it teh giggsehh,17,46,668
Morton,17,55,709
Muzzadona's Mincers,17,41,597
Nantes FC,17,37,660
PeerPressuredFC,17,28,680
Tommy D FC,17,31,776
Tosin Salad,17,41,665
4 better or 4 Wirtz,18,45,732
All the way to May,18,36,738
Clearlake Rimet,18,39,696
Cooroibah Stars,18,44,709
Give it teh giggsehh,18,52,720
Morton,18,70,779
Muzzadona's Mincers,18,33,630
Nantes FC,18,26,686
PeerPressuredFC,18,20,700
Tommy D FC,18,40,816
Tosin Salad,18,28,693
4 better or 4 Wirtz,19,53,785
All the way to May,19,29,767
Clearlake Rimet,19,23,719
Cooroibah Stars,19,44,753
Give it teh giggsehh,19,44,764
Morton,19,51,830
Muzzadona's Mincers,19,22,652
Nantes FC,19,33,719
PeerPressuredFC,19,43,743
Tommy D FC,19,57,873
Tosin Salad,19,39,732
4 better or 4 Wirtz,20,48,833
All the way to May,20,21,788
Clearlake Rimet,20,48,767
Cooroibah Stars,20,26,779
Give it teh giggsehh,20,53,817
Morton,20,40,870
Muzzadona's Mincers,20,29,681
